japanese/_name,japanese/__text,text/_name,text/__text
Japanese,早口,Meaning,はやくち/ fast talking
Japanese,兄,Meaning,あに、にい、キョウ、ケイ/ older brother
Japanese,人工衛星,Meaning,じんこうえいせい/ Artificial satellite
Japanese,寒い,Meaning,さむい/ cold
Japanese,閉会,Meaning,へいかい/ clôture de réunion
Japanese,漢,Meaning,カン/ chinois
Japanese,一歩,Meaning,one step (いっぽ)
Japanese,書店,Meaning,しょてん/ bookstore (librairie)
Japanese,終日,Meaning,しゅうじつ/ all day
Japanese,楽しい,Meaning,たのしい/ fun
Japanese,閉,Meaning,し(める)、と(じる)、ヘイ/ closed
Japanese,船/舟,Meaning,ふね、セン/ ship - boat
Japanese,猛暑,Meaning,もうしょ/ canicule
Japanese,全部,Meaning,All
Japanese,質問,Meaning,question
Japanese,お姉さん,Meaning,おねえさん/ older sister (of someone)
Japanese,上京,Meaning,Moving to capital
Japanese,社会,Meaning,society
Japanese,文字,Meaning,もじ/ écriture
Japanese,語,Meaning,"かた(る)、ゴ/ word, raconter"
Japanese,運命,Meaning,うんめい/ destiny
Japanese,赤,Meaning,あか、セキ/ red
Japanese,旅人,Meaning,traveller
Japanese,主人,Meaning,しゅじん/ master (also husband)
Japanese,歩道,Meaning,sidewalk
Japanese,夕飯,Meaning,ゆうはん/ Dinner
Japanese,有名,Meaning,famous
Japanese,観客,Meaning,かんきゃく/ audience (spectateur)
Japanese,送,Meaning,おく(る)、おく(り)、ソウ/ Sending
Japanese,作文,Meaning,さくぶん/ composition de phrase
Japanese,海,Meaning,"うみ、カイ/ Ocean, sea"
Japanese,麦,Meaning,むぎ、バク/ wheat
Japanese,早起き,Meaning,はやおき/ early riser
Japanese,暑中,Meaning,しょちゅう/ pendant la chaleur de l'été
Japanese,集める,Meaning,あつめて、あつめた/ collect (rassembler)
Japanese,客,Meaning,きゃく、かく/ customer
Japanese,無理,Meaning,むり/ Impossible
Japanese,都合,Meaning,convenience
Japanese,妻,Meaning,つま、サイ/ wife
Japanese,品質,Meaning,quality
Japanese,青空,Meaning,あおぞら/ blue sky
Japanese,晴天,Meaning,せいてん/ clear sky(beau temps)
Japanese,谷山,Meaning,たにやま/ valley and mountain
Japanese,知る,Meaning,しってます、しって、しった/ know
Japanese,話題,Meaning,topic
Japanese,正午,Meaning,しょうご/ noon (midi)
Japanese,晴れた,Meaning,はれた/ il fait beau
Japanese,大丈夫,Meaning,だいじょうぶ/ it's okay
Japanese,兄貴,Meaning,あにき/ Big brother
Japanese,夜行バス,Meaning,やこうバス/ Night bus
Japanese,遅い,Meaning,"おそい/ slow (lent, tardif)"
Japanese,晩ご飯,Meaning,ばんごはん/ Dinner
Japanese,大麦,Meaning,おおむぎ/ barley (orge)
Japanese,毛,Meaning,け、げ、モウ/ hair
Japanese,問題,Meaning,problem
Japanese,題,Meaning,ダイ/ subject
Japanese,早,Meaning,"はや(い)、ソウ/ early, fast"
Japanese,ご飯,Meaning,ごはん/ cooked rice (repas)
Japanese,計,Meaning,はか(る)、ケイ/ mesurer
Japanese,玉ねぎ,Meaning,たまねぎ/ onion
Japanese,広い海,Meaning,ひろいうみ/ Wide Ocean
Japanese,特別,Meaning,special
Japanese,発着,Meaning,Arrival and departure
Japanese,暑,Meaning,あつ(い)、ショ/ heat
Japanese,通,Meaning,とお(る)、とお(す)、シウ/ pass
Japanese,数,Meaning,かず、かぞ(える)、スウ/ number
Japanese,虫,Meaning,むし、チュウ/ insect
Japanese,今晩は,Meaning,こんばんは/ bonsoir
Japanese,着,Meaning,つ(く)、き(る)、チャク/ arrival
Japanese,寒,Meaning,さむ(い)、カン/ cold
Japanese,虫歯,Meaning,むしば/ tooth decay
Japanese,玉,Meaning,たま、ギョク/ ball
Japanese,切,Meaning,き(る)、セツ、セッ/ Cut
Japanese,洋食,Meaning,ようしょく/ Western food (cuisine occidentale)
Japanese,知り合い,Meaning,"しりあい/ acquaintance (connaissance, ami)"
Japanese,治る,Meaning,なおる/ Heal
Japanese,馬,Meaning,うま、ま、バ/ Horse
Japanese,所,Meaning,place / ところ、ショ、ジョ
Japanese,族,Meaning,ゾク/ tribe
Japanese,発つ,Meaning,たった/ depart
Japanese,止,Meaning,と(める)、と(まる)、や(める)、シ/ Stop
Japanese,意思,Meaning,いし/ intention (volonté)
Japanese,世界史,Meaning,World history
Japanese,地区,Meaning,district
Japanese,強いチーム,Meaning,Strong team
Japanese,順番,Meaning,order (mon tour)
Japanese,本質,Meaning,essence
Japanese,同じ,Meaning,same
Japanese,通過,Meaning,つうか/ passage
Japanese,奥歯,Meaning,おくば/ back teeth (molaire)
Japanese,遠足,Meaning,えんそく/ excursion
Japanese,衣,Meaning,ころも、イ/ clothing
Japanese,恋文,Meaning,Love Letter
Japanese,秋分の日,Meaning,しゅうぶんのひ/ autumnal equinox day
Japanese,時が経つ,Meaning,ときがたつ/ time passes
Japanese,発音,Meaning,pronunciation
Japanese,朝日,Meaning,あさひ/ soleil du matin
Japanese,羽田空港,Meaning,はねだくうこう/ Haneda airport
Japanese,奥,Meaning,おく/ Back
Japanese,軽食,Meaning,Snacks (repas léger)
Japanese,太陽,Meaning,Sun
Japanese,便り,Meaning,たより/ news (courrier)
Japanese,楽,Meaning,たの(しい)、ラク、ガク/ amusant
Japanese,百才,Meaning,ひゃくさい/ 100 years old
Japanese,青春,Meaning,せいしゅん/ youth
Japanese,宿泊,Meaning,しゅくはく/ stay (hébergement)
Japanese,当日,Meaning,On the day
Japanese,王,Meaning,おう/ king
Japanese,考える,Meaning,かんがえます、かんがえて、かんがえた/ think (réfléchir)
Japanese,姉,Meaning,あね/ my sister
Japanese,映る,Meaning,うつる、うつります、うつって、うつった/ to be project
Japanese,技,Meaning,わざ、ギ/ technique
Japanese,到着,Meaning,arrival
Japanese,静,Meaning,しず(か)、セイ/ Silence
Japanese,習,Meaning,なら(う)、シュウ/ learn
Japanese,乗る,Meaning,のって、のった/ get on
Japanese,試練,Meaning,しれん/ épreuve
Japanese,鉄道,Meaning,てつどう/ railway
Japanese,旅行者,Meaning,Traveler
Japanese,音楽,Meaning,おんがく/ music
Japanese,急,Meaning,いそ(ぐ)、キュウ/ Sudden
Japanese,低い,Meaning,ひくい/ low
Japanese,計画,Meaning,けいかく/ plan
Japanese,当,Meaning,あ(たる)、あた(り)、シュウ/ Current
Japanese,速度,Meaning,そくど/ speed
Japanese,始,Meaning,はじ(める、まる)、シ/ beginning
Japanese,髪の毛,Meaning,かみのけ/ hair
Japanese,計る,Meaning,はかります、はかって、はかった/ measure
